username,password,first_name,last_name,email,phone,picture,role
blueladybug117,boxing,Lucille,Hoffman,lucille.hoffman@example.com,(257) 371-8010,https://randomuser.me/api/portraits/women/71.jpg,EMPLOYEE
crazyfish876,cramps,Carrie,Fletcher,carrie.fletcher@example.com,(510) 613-9449,https://randomuser.me/api/portraits/women/29.jpg,EMPLOYEE
purpleleopard390,eggplant,Evelyn,Frazier,evelyn.frazier@example.com,(858) 346-3930,https://randomuser.me/api/portraits/women/8.jpg,EMPLOYEE
redduck954,mylife,Jerome,Oliver,jerome.oliver@example.com,(709) 352-8827,https://randomuser.me/api/portraits/men/50.jpg,EMPLOYEE
yellowzebra582,bbbb,Larry,Ray,larry.ray@example.com,(631) 412-3368,https://randomuser.me/api/portraits/men/79.jpg,EMPLOYEE
sadrabbit642,kristina,Cindy,Gonzales,cindy.gonzales@example.com,(690) 762-5216,https://randomuser.me/api/portraits/women/54.jpg,EMPLOYEE
organicsnake347,wind,Tanya,Chavez,tanya.chavez@example.com,(797) 784-4964,https://randomuser.me/api/portraits/women/14.jpg,EMPLOYEE
purplebutterfly551,reading,Lesa,Craig,lesa.craig@example.com,(797) 687-6934,https://randomuser.me/api/portraits/women/86.jpg,EMPLOYEE
redtiger473,2003,Reginald,Berry,reginald.berry@example.com,(783) 262-9195,https://randomuser.me/api/portraits/men/93.jpg,EMPLOYEE
silverfish336,1216,Sylvia,Kim,sylvia.kim@example.com,(968) 356-1755,https://randomuser.me/api/portraits/women/31.jpg,EMPLOYEE
heavymouse464,singer,Rose,Nichols,rose.nichols@example.com,(261) 662-4857,https://randomuser.me/api/portraits/women/93.jpg,EMPLOYEE
greenswan743,apollo13,Susan,Watts,susan.watts@example.com,(365) 647-7788,https://randomuser.me/api/portraits/women/26.jpg,EMPLOYEE
reddog766,candle,Chris,Thomas,chris.thomas@example.com,(792) 301-3320,https://randomuser.me/api/portraits/men/23.jpg,EMPLOYEE
organicleopard914,poopoo,Dolores,Burke,dolores.burke@example.com,(846) 866-6008,https://randomuser.me/api/portraits/women/82.jpg,EMPLOYEE
angrywolf977,invis,Alexa,Sanders,alexa.sanders@example.com,(379) 377-0234,https://randomuser.me/api/portraits/women/60.jpg,EMPLOYEE
tinywolf721,ytrewq,Katrina,Harris,katrina.harris@example.com,(973) 743-2182,https://randomuser.me/api/portraits/women/43.jpg,EMPLOYEE
angryelephant320,blueblue,Gloria,Castro,gloria.castro@example.com,(442) 783-9215,https://randomuser.me/api/portraits/women/82.jpg,EMPLOYEE
yellowfrog152,islander,Luis,Black,luis.black@example.com,(874) 340-6970,https://randomuser.me/api/portraits/men/35.jpg,EMPLOYEE
happylion795,lick,Nathaniel,Larson,nathaniel.larson@example.com,(457) 989-5811,https://randomuser.me/api/portraits/men/43.jpg,EMPLOYEE
silverbear245,catalina,Jeffery,Martin,jeffery.martin@example.com,(562) 313-1635,https://randomuser.me/api/portraits/men/93.jpg,EMPLOYEE
silverduck232,bcfields,Mason,Howard,mason.howard@example.com,(612) 406-6618,https://randomuser.me/api/portraits/men/80.jpg,EMPLOYEE
ticklishleopard919,raistlin,Dave,Baker,dave.baker@example.com,(968) 653-9911,https://randomuser.me/api/portraits/men/72.jpg,EMPLOYEE
lazypeacock812,odyssey,Allan,Bennett,allan.bennett@example.com,(649) 879-7692,https://randomuser.me/api/portraits/men/8.jpg,EMPLOYEE
orangelion212,stardust,Mike,Watson,mike.watson@example.com,(592) 712-2888,https://randomuser.me/api/portraits/men/80.jpg,EMPLOYEE
tinyfrog623,southern,Evan,Frazier,evan.frazier@example.com,(565) 590-4723,https://randomuser.me/api/portraits/men/35.jpg,EMPLOYEE
purpledog110,sweetpea,Marvin,Bennett,marvin.bennett@example.com,(390) 911-5065,https://randomuser.me/api/portraits/men/84.jpg,EMPLOYEE
orangesnake908,cohiba,Jeff,Hamilton,jeff.hamilton@example.com,(234) 953-1220,https://randomuser.me/api/portraits/men/95.jpg,EMPLOYEE
goldenelephant486,ruth,Jane,Kim,jane.kim@example.com,(760) 664-3669,https://randomuser.me/api/portraits/women/80.jpg,EMPLOYEE
sadleopard523,vicky,Jeff,Butler,jeff.butler@example.com,(334) 575-0068,https://randomuser.me/api/portraits/men/87.jpg,EMPLOYEE
smallbutterfly487,duncan,Kaylee,Ramos,kaylee.ramos@example.com,(554) 231-0848,https://randomuser.me/api/portraits/women/57.jpg,EMPLOYEE
organiczebra825,intel,Rhonda,Carpenter,rhonda.carpenter@example.com,(363) 239-0285,https://randomuser.me/api/portraits/women/45.jpg,EMPLOYEE
sadelephant647,deadpool,Jessica,Larson,jessica.larson@example.com,(255) 664-0586,https://randomuser.me/api/portraits/women/14.jpg,EMPLOYEE
sadlion379,zone,Mary,King,mary.king@example.com,(282) 955-9745,https://randomuser.me/api/portraits/women/26.jpg,EMPLOYEE
redleopard575,gretchen,Reginald,Chapman,reginald.chapman@example.com,(274) 848-1590,https://randomuser.me/api/portraits/men/77.jpg,EMPLOYEE
bigwolf781,life,Bruce,Reyes,bruce.reyes@example.com,(322) 865-7390,https://randomuser.me/api/portraits/men/83.jpg,EMPLOYEE
beautifulkoala701,webmaste,Leonard,Palmer,leonard.palmer@example.com,(811) 379-0964,https://randomuser.me/api/portraits/men/45.jpg,EMPLOYEE
bluebird398,legend,Gary,Lambert,gary.lambert@example.com,(891) 613-9441,https://randomuser.me/api/portraits/men/78.jpg,EMPLOYEE
whitekoala542,montecar,Pearl,Boyd,pearl.boyd@example.com,(273) 366-4994,https://randomuser.me/api/portraits/women/75.jpg,EMPLOYEE
orangelion143,woodstoc,Emily,Davis,emily.davis@example.com,(260) 991-4643,https://randomuser.me/api/portraits/women/33.jpg,EMPLOYEE
happygorilla123,kendall,Clara,Marshall,clara.marshall@example.com,(720) 582-4427,https://randomuser.me/api/portraits/women/48.jpg,EMPLOYEE
sadmouse267,squeak,Judy,Sims,judy.sims@example.com,(747) 713-8211,https://randomuser.me/api/portraits/women/79.jpg,EMPLOYEE
tinyrabbit907,tricky,Rene,Jordan,rene.jordan@example.com,(952) 502-0662,https://randomuser.me/api/portraits/men/41.jpg,EMPLOYEE
